year,month,customer_state,total_price,last_month_price,growth
2017,12,CE,11471.229999999992,20740.27000000002,-44.69
2018,01,CE,14630.419999999984,11471.229999999992,27.54
2018,02,CE,11139.509999999991,14630.419999999984,-23.86
2018,03,CE,18732.25,11139.509999999991,68.16
2018,04,CE,17593.329999999984,18732.25,-6.08
2018,05,CE,12470.409999999996,17593.329999999984,-29.12
2018,06,CE,19130.81000000002,12470.409999999996,53.41
2018,07,CE,16521.509999999987,19130.81000000002,-13.64
2018,08,CE,9650.039999999997,16521.509999999987,-41.59
2016,10,DF,1043.77,,
2017,01,DF,1826.6300000000003,1043.77,75.0
2017,02,DF,10306.799999999997,1826.6300000000003,464.25
2017,03,DF,7774.469999999997,10306.799999999997,-24.57
2017,04,DF,11526.58,7774.469999999997,48.26
2017,05,DF,8670.539999999994,11526.58,-24.78
2017,06,DF,8325.859999999991,8670.539999999994,-3.98
2017,07,DF,10897.019999999991,8325.859999999991,30.88
2017,08,DF,10146.799999999992,10897.019999999991,-6.88
2017,09,DF,14295.049999999987,10146.799999999992,40.88
2017,10,DF,13250.36999999999,14295.049999999987,-7.31
2017,11,DF,28912.720000000038,13250.36999999999,118.2
2017,12,DF,18209.44,28912.720000000038,-37.02
2018,01,DF,17969.759999999987,18209.44,-1.32
2018,02,DF,21426.140000000032,17969.759999999987,19.23
2018,03,DF,21219.39000000002,21426.140000000032,-0.96
2018,04,DF,19215.64000000001,21219.39000000002,-9.44
2018,05,DF,26248.340000000037,19215.64000000001,36.6
2018,06,DF,20534.23000000001,26248.340000000037,-21.77
2018,07,DF,23186.530000000028,20534.23000000001,12.92
2018,08,DF,20136.210000000006,23186.530000000028,-13.16
2016,10,ES,917.79,,
2017,01,ES,2255.96,917.79,145.8
2017,02,ES,4771.989999999999,2255.96,111.53
2017,03,ES,4985.409999999998,4771.989999999999,4.47
2017,04,ES,5802.989999999994,4985.409999999998,16.4
2017,05,ES,14344.529999999986,5802.989999999994,147.19
2017,06,ES,10541.629999999985,14344.529999999986,-26.51
2017,07,ES,7467.499999999992,10541.629999999985,-29.16
2017,08,ES,13732.909999999987,7467.499999999992,83.9
2017,09,ES,11367.349999999984,13732.909999999987,-17.23
2017,10,ES,11626.649999999981,11367.349999999984,2.28
2017,11,ES,24740.73000000004,11626.649999999981,112.79
2017,12,ES,13120.639999999985,24740.73000000004,-46.97
2018,01,ES,20723.800000000003,13120.639999999985,57.95
2018,02,ES,17169.419999999995,20723.800000000003,-17.15
2018,03,ES,18308.359999999986,17169.419999999995,6.63
2018,04,ES,16780.559999999987,18308.359999999986,-8.34
2018,05,ES,19613.62999999999,16780.559999999987,16.88
2018,06,ES,19248.44,19613.62999999999,-1.86
2018,07,ES,30595.970000000038,19248.44,58.95
2018,08,ES,16655.039999999994,30595.970000000038,-45.56
2016,10,GO,1064.29,,
2017,01,GO,4294.39,1064.29,303.5
2017,02,GO,2331.8500000000004,4294.39,-45.7
2017,03,GO,8808.229999999996,2331.8500000000004,277.74
2017,04,GO,5495.73,8808.229999999996,-37.61
2017,05,GO,17809.46,5495.73,224.06
2017,06,GO,10333.119999999986,17809.46,-41.98
2017,07,GO,9214.179999999991,10333.119999999986,-10.83
2017,08,GO,15953.559999999985,9214.179999999991,73.14
2017,09,GO,18409.66999999999,15953.559999999985,15.4
2017,10,GO,18226.54999999999,18409.66999999999,-0.99
2017,11,GO,21817.790000000023,18226.54999999999,19.7
2017,12,GO,16210.799999999977,21817.790000000023,-25.7
2018,01,GO,17368.879999999997,16210.799999999977,7.14
2018,02,GO,18445.64,17368.879999999997,6.2
2018,03,GO,20139.430000000026,18445.64,9.18
2018,04,GO,23496.44000000006,20139.430000000026,16.67
2018,05,GO,25183.49000000004,23496.44000000006,7.18
2018,06,GO,14857.499999999985,25183.49000000004,-41.0
2018,07,GO,25574.400000000023,14857.499999999985,72.13
2018,08,GO,18162.87,25574.400000000023,-28.98
2016,10,MA,704.2599999999999,,
2017,01,MA,618.09,704.2599999999999,-12.24
2017,02,MA,895.2799999999999,618.09,44.85
2017,03,MA,1975.7900000000006,895.2799999999999,120.69
2017,04,MA,3558.120000000001,1975.7900000000006,80.09
2017,05,MA,3440.0800000000004,3558.120000000001,-3.32
2017,06,MA,1779.3000000000006,3440.0800000000004,-48.28
2017,07,MA,6538.329999999999,1779.3000000000006,267.47
2017,08,MA,6217.719999999998,6538.329999999999,-4.9
2017,09,MA,9519.249999999995,6217.719999999998,53.1
2017,10,MA,10335.799999999994,9519.249999999995,8.58
2017,11,MA,10376.679999999991,10335.799999999994,0.4
2017,12,MA,6145.139999999998,10376.679999999991,-40.78
2018,01,MA,8952.499999999993,6145.139999999998,45.68
2018,02,MA,10757.689999999997,8952.499999999993,20.16
2018,03,MA,9001.699999999993,10757.689999999997,-16.32
2018,04,MA,8038.799999999996,9001.699999999993,-10.7
2018,05,MA,7084.04,8038.799999999996,-11.88
2018,06,MA,6137.479999999997,7084.04,-13.36
2018,07,MA,6755.419999999997,6137.479999999997,10.07
2018,08,MA,4246.2,6755.419999999997,-37.14
2016,10,MG,5057.8,,
2017,01,MG,16799.669999999984,5057.8,232.15
2017,02,MG,32518.74000000013,16799.669999999984,93.57
2017,03,MG,43657.42000000015,32518.74000000013,34.25
2017,04,MG,42485.60000000013,43657.42000000015,-2.68
2017,05,MG,51829.820000000174,42485.60000000013,21.99
2017,06,MG,48330.77000000013,51829.820000000174,-6.75
2017,07,MG,57632.84000000023,48330.77000000013,19.25
2017,08,MG,62059.840000000186,57632.84000000023,7.68
2017,09,MG,74577.8600000001,62059.840000000186,20.17
2017,10,MG,88318.56999999988,74577.8600000001,18.42
2017,11,MG,141249.5799999994,88318.56999999988,59.93
2017,12,MG,97060.16999999995,141249.5799999994,-31.28
2018,01,MG,118245.0199999997,97060.16999999995,21.83
2018,02,MG,112890.79999999958,118245.0199999997,-4.53
2018,03,MG,123787.35999999974,112890.79999999958,9.65
2018,04,MG,113150.12999999989,123787.35999999974,-8.59
2018,05,MG,106767.43999999968,113150.12999999989,-5.64
2018,06,MG,109488.10999999987,106767.43999999968,2.55
2018,07,MG,101778.65999999996,109488.10999999987,-7.04
2018,08,MG,98161.0699999999,101778.65999999996,-3.55
2018,09,MG,,98161.0699999999,
2017,01,MS,149.0,,
2017,02,MS,7519.789999999998,149.0,4946.84
2017,03,MS,6848.549999999998,7519.789999999998,-8.93
2017,04,MS,1904.0600000000006,6848.549999999998,-72.2
2017,05,MS,3477.2400000000007,1904.0600000000006,82.62
2017,06,MS,4247.290000000001,3477.2400000000007,22.15
2017,07,MS,3997.33,4247.290000000001,-5.89
2017,08,MS,3898.4200000000005,3997.33,-2.47
2017,09,MS,4902.709999999999,3898.4200000000005,25.76
2017,10,MS,6267.8399999999965,4902.709999999999,27.84
2017,11,MS,7314.169999999996,6267.8399999999965,16.69
